stockcode,meanRet,tradeNums,winRatio,sdRet,maxRet,minRet,avgHoldDays
1817.TW,-1.4,1,0,NA,-1.4,-1.4,2
1909.TW,-2.81,1,0,NA,-2.81,-2.81,5
2015.TW,-0.4,1,0,NA,-0.4,-0.4,13
2049.TW,-6,1,0,NA,-6,-6,1
2069.TW,-10.61,1,0,NA,-10.61,-10.61,10
2104.TW,-4.88,1,0,NA,-4.88,-4.88,7
2107.TW,-2.39,1,0,NA,-2.39,-2.39,1
2115.TW,-2.55,1,0,NA,-2.55,-2.55,5
2201.TW,-3.17,1,0,NA,-3.17,-3.17,4
2228.TW,-3.48,1,0,NA,-3.48,-3.48,7
2243.TW,-1.92,1,0,NA,-1.92,-1.92,4
2313.TW,-6.61,1,0,NA,-6.61,-6.61,4
2314.TW,-2.94,1,0,NA,-2.94,-2.94,2
2324.TW,-4.36,1,0,NA,-4.36,-4.36,2
2332.TW,-3.05,1,0,NA,-3.05,-3.05,4
2337.TW,-5.74,1,0,NA,-5.74,-5.74,4
2345.TW,-2.39,1,0,NA,-2.39,-2.39,1
2354.TW,-1.69,1,0,NA,-1.69,-1.69,12
2380.TW,-1.92,1,0,NA,-1.92,-1.92,9
2392.TW,-0.62,1,0,NA,-0.62,-0.62,7
2395.TW,-1.32,1,0,NA,-1.32,-1.32,1
2397.TW,-1.67,1,0,NA,-1.67,-1.67,3
2413.TW,-10.07,1,0,NA,-10.07,-10.07,4
2415.TW,-1.48,1,0,NA,-1.48,-1.48,8
2430.TW,-1.79,1,0,NA,-1.79,-1.79,2
2434.TW,-11.56,1,0,NA,-11.56,-11.56,4
2438.TW,-13.39,1,0,NA,-13.39,-13.39,2
2440.TW,-6.89,1,0,NA,-6.89,-6.89,2
2441.TW,-0.4,1,0,NA,-0.4,-0.4,3
2453.TW,-1.99,1,0,NA,-1.99,-1.99,12
2472.TW,-0.88,1,0,NA,-0.88,-0.88,6
2492.TW,-2.93,1,0,NA,-2.93,-2.93,2
2496.TW,-5.93,1,0,NA,-5.93,-5.93,1
2501.TW,-0.77,1,0,NA,-0.77,-0.77,7
2505.TW,-4.52,1,0,NA,-4.52,-4.52,4
2514.TW,-4.21,1,0,NA,-4.21,-4.21,28
2527.TW,-6.06,1,0,NA,-6.06,-6.06,2
2535.TW,-1.52,1,0,NA,-1.52,-1.52,8
2542.TW,-3.46,1,0,NA,-3.46,-3.46,5
2605.TW,-3.73,1,0,NA,-3.73,-3.73,1
2606.TW,-2.89,1,0,NA,-2.89,-2.89,3
2607.TW,-4.46,1,0,NA,-4.46,-4.46,6
2915.TW,-5.76,1,0,NA,-5.76,-5.76,7
2936.TW,-1.33,1,0,NA,-1.33,-1.33,5
3002.TW,-5.47,1,0,NA,-5.47,-5.47,3
3004.TW,-1.05,1,0,NA,-1.05,-1.05,9
3006.TW,-1.13,1,0,NA,-1.13,-1.13,6
3013.TW,-7.78,1,0,NA,-7.78,-7.78,14
3017.TW,-5.6,1,0,NA,-5.6,-5.6,10
3018.TW,-0.28,1,0,NA,-0.28,-0.28,7
3019.TW,-2.59,1,0,NA,-2.59,-2.59,6
3021.TW,-6.67,1,0,NA,-6.67,-6.67,9
3035.TW,-2.71,1,0,NA,-2.71,-2.71,4
3059.TW,-5.03,1,0,NA,-5.03,-5.03,5
3090.TW,-8.28,1,0,NA,-8.28,-8.28,1
3167.TW,-7.46,1,0,NA,-7.46,-7.46,28
3432.TW,-0.4,1,0,NA,-0.4,-0.4,7
3454.TW,-1.38,1,0,NA,-1.38,-1.38,13
3494.TW,-1.87,1,0,NA,-1.87,-1.87,7
3532.TW,-0.7,1,0,NA,-0.7,-0.7,3
3550.TW,-1.73,1,0,NA,-1.73,-1.73,4
3593.TW,-28.44,1,0,NA,-28.44,-28.44,20
3596.TW,-2.93,1,0,NA,-2.93,-2.93,3
3669.TW,-2.03,1,0,NA,-2.03,-2.03,3
3694.TW,-2.31,1,0,NA,-2.31,-2.31,3
4119.TW,-2.24,1,0,NA,-2.24,-2.24,3
4148.TW,-4.7,1,0,NA,-4.7,-4.7,9
4438.TW,-1.26,1,0,NA,-1.26,-1.26,6
4725.TW,-5.64,1,0,NA,-5.64,-5.64,3
4746.TW,-7.87,1,0,NA,-7.87,-7.87,6
4807.TW,-2.63,1,0,NA,-2.63,-2.63,5
4915.TW,-0.5,1,0,NA,-0.5,-0.5,13
4930.TW,-2.4,1,0,NA,-2.4,-2.4,2
4935.TW,-1.71,1,0,NA,-1.71,-1.71,5
4956.TW,-5.91,1,0,NA,-5.91,-5.91,2
4958.TW,-1.11,1,0,NA,-1.11,-1.11,9
5007.TW,-2.85,1,0,NA,-2.85,-2.85,8
5285.TW,-1.04,1,0,NA,-1.04,-1.04,3
5388.TW,-2.82,1,0,NA,-2.82,-2.82,5
5521.TW,-1.7,1,0,NA,-1.7,-1.7,3
5534.TW,-1.51,1,0,NA,-1.51,-1.51,14
5538.TW,-1.25,1,0,NA,-1.25,-1.25,3
6024.TW,-1.84,1,0,NA,-1.84,-1.84,13
6108.TW,-1.97,1,0,NA,-1.97,-1.97,4
6115.TW,-1.14,1,0,NA,-1.14,-1.14,8
6205.TW,-3.56,1,0,NA,-3.56,-3.56,2
6257.TW,-0.84,1,0,NA,-0.84,-0.84,8
6289.TW,-10.53,1,0,NA,-10.53,-10.53,2
6405.TW,-0.26,1,0,NA,-0.26,-0.26,6
6456.TW,-6.05,1,0,NA,-6.05,-6.05,3
6464.TW,-0.82,1,0,NA,-0.82,-0.82,1
6552.TW,-3.92,1,0,NA,-3.92,-3.92,7
8011.TW,-4.55,1,0,NA,-4.55,-4.55,4
8039.TW,-1.68,1,0,NA,-1.68,-1.68,3
8210.TW,-4.68,1,0,NA,-4.68,-4.68,4
8261.TW,-5.14,1,0,NA,-5.14,-5.14,3
8427.TW,-0.76,1,0,NA,-0.76,-0.76,8
8466.TW,-3.2,1,0,NA,-3.2,-3.2,2
8467.TW,-2.79,1,0,NA,-2.79,-2.79,3
8480.TW,-3.26,1,0,NA,-3.26,-3.26,2
8481.TW,-5.75,1,0,NA,-5.75,-5.75,4
9907.TW,-1.65,1,0,NA,-1.65,-1.65,8
9911.TW,-3.19,1,0,NA,-3.19,-3.19,6
9925.TW,-0.27,1,0,NA,-0.27,-0.27,2
9935.TW,-7.64,1,0,NA,-7.64,-7.64,2
9937.TW,-3.29,1,0,NA,-3.29,-3.29,3
9939.TW,-1.38,1,0,NA,-1.38,-1.38,6
9944.TW,-0.6,1,0,NA,-0.6,-0.6,6
