"StockCode","meanRet","tradeNums","winRatio","sdRet","maxRet","minRet","avgHoldDays"
"2712.TW",1.34,44,59.09,4.46,19.32,-5.38,25.68
"2722.TW",-0.41,53,50.94,4.33,7.45,-17.82,24.81
"2723.TW",0.02,62,40.32,8.84,29.89,-25.45,25.18
"2727.TW",0.09,53,43.4,8.72,43.54,-18.2,24.81
"2731.TW",3.11,47,38.3,14.05,62.1,-14.34,25.32
"2739.TW",-2.01,30,20,8.23,18.3,-20.91,26.73
"2748.TW",-0.62,21,28.57,10.14,29.91,-25.91,27.95
"2801.TW",0.16,70,44.29,5.62,24.97,-11.94,25.64
"2809.TW",2.51,70,60,7.9,41.39,-9.25,25.64
"2812.TW",-0.08,70,41.43,4.97,24.63,-10.5,25.64
"2816.TW",0.19,70,40,9.64,35.76,-30.48,25.64
"2820.TW",-1.09,69,44.93,4.91,9.27,-18.07,25.86
"2823.TW",1.08,70,52.86,7.31,25.57,-18.4,25.64
"2832.TW",0.12,70,48.57,4.51,22.82,-9.76,25.64
"2834.TW",-0.01,70,41.43,4.72,14.26,-12.76,25.64
"2836.TW",-0.57,70,41.43,5.33,18.84,-18.59,25.64
"2838.TW",-0.28,70,42.86,3.92,9.36,-17.92,25.64
"2841.TW",0.13,70,37.14,6.85,25.58,-12.98,25.64
"2845.TW",-0.34,70,41.43,4.92,25.17,-8.92,25.64
"2849.TW",0.87,70,48.57,7.32,27.16,-20,25.64
"2850.TW",1.52,70,52.86,7.19,31.38,-16.7,25.64
"2851.TW",0.13,70,48.57,6.73,31.2,-16.03,25.64
"2852.TW",0.04,70,48.57,5.68,16.84,-17.14,25.64
"2855.TW",0.36,70,51.43,5.46,17.64,-19,25.64
"2856.TW",-0.21,70,47.14,5.53,18.15,-12.34,25.64
"2867.TW",0.24,48,41.67,5.98,18.36,-9.6,25.02
"2880.TW",0.03,70,47.14,4.71,14.63,-12.07,25.64
"2881.TW",0.23,70,50,6.51,17.8,-23.03,25.64
"2882.TW",-0.45,70,47.14,6.46,20.68,-20,25.64
"2883.TW",-0.44,70,45.71,5.67,19.49,-14.79,25.64
"2884.TW",0.54,68,51.47,6.37,19.16,-16.25,24.74
"2885.TW",-0.37,70,45.71,5.81,14.64,-16.92,25.64
